Title,Book Author,Narrated by,Series,Book Length,Released Date,Language,Ratings
Golden Touch,Sarina Bowen,Tim Paige,Giltmaker,7 hrs and 47 mins,07-09-24,English,5 out of 5 stars
Under Your Scars,Ariel N. Anderson,Lee Daniels,,19 hrs and 2 mins,07-09-24,English,4.5 out of 5 stars
Unprepared Healer,Jonathan Brooks,Miles Meili,Earthen Contenders,14 hrs and 47 mins,07-08-24,English,5 out of 5 stars
Kill Promise,Scott Blade,Alan Philip Ormond,Jack Widow,10 hrs and 55 mins,07-08-24,English,5 out of 5 stars
The Halls of Magic: Volume 1,"Annabelle Hawthorne,M.E. Thorne",Melisandre Verte,Halls of Magic,12 hrs and 2 mins,07-08-24,English,5 out of 5 stars
Thirst Trap,Lani Lynn Vale,Melissa Moran,Carter Brothers,5 hrs and 56 mins,07-08-24,English,5 out of 5 stars
Unleashed,Douglas E. Richards,Adam Verner,Nick Hall,12 hrs and 36 mins,07-08-24,English,Not rated yet
Task Force Hammer,Craig Alanson,R.C. Bray,Expeditionary Force,21 hrs and 40 mins,09-10-24,English,Not rated yet
Bloodlands,Mark Dawson,David Thorpe,John Milton,10 hrs and 22 mins,07-09-24,English,5 out of 5 stars
Drumindor,Michael J. Sullivan,Tim Gerard Reynolds,The Riyria Chronicles,12 hrs and 45 mins,10-21-24,English,Not rated yet
The Empress of Beasts,pirateaba,Andrea Parsneau,The Wandering Inn,30 hrs and 29 mins,09-10-24,English,Not rated yet
The Shadow Rising,Robert Jordan,Rosamund Pike,The Wheel of Time,40 hrs and 31 mins,09-17-24,English,Not rated yet
The Longest Con,Joe Conason,Steve Marvel,,10 hrs and 55 mins,07-09-24,English,Not rated yet
Play Along,Liz Tomforde,Jacob Morgan,Windy City Series,12 hrs and 32 mins,07-10-24,English,Not rated yet
State of Paradise,Laura van den Berg,Megan Tusing,,5 hrs and 33 mins,07-09-24,English,Not rated yet
Mayhem,Aaron Oster,Steve Campbell,Mayhem,18 hrs and 16 mins,07-09-24,English,5 out of 5 stars
LastRock,Phil Tucker,Nick Podehl,Immortal Great Souls,26 hrs and 2 mins,07-09-24,English,5 out of 5 stars
